Cantón,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Coronado,0.647969545015908,0.649417439998079,0.652470453031006,0.667702276660148,0.654374911486962,0.67265630793309,0.674810667876251,0.676086561758929,0.676063495159242,0.676838394419647,0.677486585367728
Acosta,0.45591111698134,0.461197291154674,0.468082339755044,0.444947629263684,0.481435730823992,0.45641394218243,0.464320015699009,0.465217108838805,0.467822716432168,0.459137107479049,0.46254310572743
Tibás,0.66803405046455,0.670922551060036,0.673650563091327,0.710912823637201,0.677759100401862,0.717780132996609,0.718375366169154,0.718388216188417,0.71739023250289,0.716977549828025,0.717062723454603
Moravia,0.69384705652378,0.691666849988058,0.690636321648446,0.712094138449379,0.68876885505804,0.711859327101743,0.713155523491734,0.713618048362355,0.712942268246204,0.713050539742025,0.713210562107248
Montes de Oca,0.737224468750187,0.739496384108413,0.742438263731209,0.760917268817581,0.746282300101148,0.766506908992306,0.766097731388829,0.765327034464789,0.763606705227613,0.762718741521015,0.762047901481053
Turrubares,0.469656744763155,0.479836288799577,0.485098002057865,0.596194839505816,0.503963998756227,0.612134353644635,0.618557267638178,0.620414435034422,0.6246325114273,0.630560167906437,0.634213760257456
Dota,0.493819434536691,0.504362991985993,0.514607651106946,0.543762637038204,0.531936275609685,0.576936098641873,0.585734863208845,0.596809553358404,0.600402160709652,0.602639626172091,0.608140334433469
Curridabat,0.653926825530297,0.651054645366973,0.654258714028229,0.683527689742797,0.658765783588863,0.689890776119954,0.692474248304249,0.694576030696718,0.69524405320188,0.696601483184033,0.698597752530654
Pérez Zeledón,0.513855395812982,0.530072241894784,0.535972878727296,0.536214959919636,0.539516204962558,0.541139273625168,0.539584089652677,0.536754548731785,0.537213554439363,0.535814079825454,0.536272612549305
León Cortes,0.469388875080432,0.465986405418013,0.459699301298883,0.494822511742337,0.457335690354633,0.521819420724757,0.52929399972523,0.53404143735893,0.536430078193405,0.542112699582113,0.544352988549421
Alajuela,0.587034598397789,0.601319166503232,0.603962903738249,0.605376317968015,0.607980397298591,0.609738195711995,0.612310953929656,0.613412065078788,0.614769152275724,0.615948592754103,0.617066740265779
San Ramón,0.55251306918859,0.55312536257861,0.558604884973527,0.565301716628991,0.5621991632551,0.570672174595101,0.572462028629002,0.572270020192977,0.574768849497913,0.575917185174218,0.576944029301926
Grecia,0.566210187564545,0.568595553688899,0.573250521990639,0.577849723179338,0.577908572147745,0.585151182891042,0.587899216306403,0.589819107855222,0.591153610362117,0.602964804595813,0.603521337565185
San Mateo,0.548362623097847,0.544293009049383,0.546415453955449,0.582987984725497,0.551861026008564,0.593933269720611,0.60143928187442,0.60747950319651,0.613489978053556,0.618723100257245,0.62356625461097
Atenas,0.565852941878696,0.568304666282521,0.571347534336345,0.567897989652337,0.575956269279206,0.57468304840013,0.576456188834271,0.577267357411355,0.578354990398282,0.577697066541946,0.57894925550167
Naranjo,0.564412339346502,0.565385784253929,0.570757540137944,0.572290596607531,0.575491024139057,0.576956244945295,0.58039327996486,0.582870120972529,0.585699653418078,0.586248305598677,0.5896621028093
Palmares,0.584285779937616,0.582150870625821,0.583561504251184,0.584906485773208,0.579747069496886,0.581837082847448,0.582111803929674,0.581650226468884,0.582207870561742,0.57988312845689,0.581870892803341
Poás,0.551867444405328,0.555648891710084,0.558242207459443,0.560677778197111,0.563698215442064,0.566338763820275,0.567201965206315,0.568082592530253,0.56764616857252,0.566141802405582,0.565841915593451
Orotina,0.539585530142121,0.542086663204076,0.545619222775368,0.522135950616252,0.554554055358732,0.52803390659724,0.52853658375132,0.527210850347138,0.524820150314928,0.519533304702802,0.518206567253285
San Carlos,0.493466402837045,0.499448677599014,0.507459263632651,0.513156585826069,0.519549740913557,0.524741455907869,0.528988668046034,0.531119234970676,0.533704576037162,0.534682891600266,0.535820842528211
Zarcero,0.515650285119433,0.509078354492417,0.510604811932102,0.513434596202164,0.514654917228088,0.516804760426132,0.518312677629153,0.519704336765102,0.51367865501049,0.516494508832199,0.518322280962058
