gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4952212564	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244314872	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi		SPECIES	Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	Herpailurus yagouaroundi		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.722514	-84.038522	31227.0						2024-07-21T07:54	21	7	2024	5787224	2435146	HUMAN_OBSERVATION	iNaturalist	Observations	244314872		C Hewitt	2024-09-28T01:17:42	CC_BY_NC_4_0	Daniel Arias	Daniel Arias			2024-10-19T13:55:25.756Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950061611	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/243637590	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi		SPECIES	Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	Herpailurus yagouaroundi		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.644127	-83.533593	6094.0						2024-09-23T11:51:36	23	9	2024	5787224	2435146	HUMAN_OBSERVATION	iNaturalist	Observations	243637590		myceliaworld	2024-09-23T18:09:29	CC_BY_NC_4_0	myceliaworld	myceliaworld			2024-10-19T13:56:06.041Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946252441	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241041300	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.452461	-83.403606	31189.0						2024-08-30T15:51:24	30	8	2024	5219426	5219426	HUMAN_OBSERVATION	iNaturalist	Observations	241041300		luiscorreacr	2024-09-11T01:54:53	CC_BY_NC_4_0	luiscorreacr	luiscorreacr			2024-10-19T13:29:00.879Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945472754	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240206630	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.531232	-83.546646	20978.0						2024-09-06T14:54:21	6	9	2024	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	240206630		mcozii	2024-09-06T21:01:52	CC_BY_NC_4_0	mcozii	mcozii			2024-10-19T13:28:16.963Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936754126	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237522502	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.909509	-83.20696	4.0						2013-01-15T15:55	15	1	2013	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	237522502		Javier Carazo	2024-08-23T20:23:01	CC_BY_NC_4_0	Javier Carazo	Javier Carazo			2024-10-19T13:29:29.661Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936168026	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238445437	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Heredia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.429334	-84.00935	39.0						2024-08-26T21:26	26	8	2024	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	238445437		Bruce Young	2024-08-28T17:00:34	CC_BY_NC_4_0	Bruce Young	Bruce Young			2024-10-19T13:29:14.732Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935998248	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239689042	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.457798	-83.50279	1094.0						2011-01-30	30	1	2011	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	239689042		Fabián A. Sibaja Araya	2024-09-03T21:40:38	CC_BY_NC_4_0	Fabián A. Sibaja Araya	Fabián A. Sibaja Araya			2024-10-19T13:58:53.968Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4924131787	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234546221	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.304266	-84.795268							2024-08-07T15:38:57	7	8	2024	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	234546221		Criss Acuña	2024-08-08T17:09:16	CC_BY_4_0	Criss Acuña	Criss Acuña			2024-10-19T13:55:20Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919562254	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/96932505	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.620208	-83.733872	16.0						2018-02-12T09:57:13	12	2	2018	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	96932505		Preben Buhl	2021-10-02T20:02:01	CC0_1_0	Preben Buhl	Preben Buhl			2024-10-19T13:08:50.162Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919313352	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/203063973	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.839945	-84.675464	31169.0						2024-03-11T06:40	11	3	2024	5219426	5219426	HUMAN_OBSERVATION	iNaturalist	Observations	203063973		Joachim Bertrands	2024-03-19T03:56:57	CC_BY_NC_4_0	Joachim Bertrands	Joachim Bertrands			2024-10-19T13:21:02.638Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919271563	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225581466	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.704329	-85.655421	31179.0						2023-10-11T12:28:54	11	10	2023	5219426	5219426	HUMAN_OBSERVATION	iNaturalist	Observations	225581466		biobeagle31	2024-06-27T20:05:24	CC_BY_NC_4_0	biobeagle31	biobeagle31			2024-10-19T13:53:40.918Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4910719480	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/230298062	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.865877	-85.060768							2024-07-15T12:26:50	15	7	2024	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	230298062		Carlos Venegas-Elizondo	2024-07-19T14:38:02	CC_BY_NC_4_0	Carlos Venegas-Elizondo	Carlos Venegas-Elizondo			2024-10-19T13:54:21.637Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4910695425	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/198373922	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.62018	-83.733795	24.0						2018-02-12T02:57:07	12	2	2018	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	198373922		Preben Buhl	2024-02-04T08:27:49	CC0_1_0	Preben Buhl	Preben Buhl			2024-10-19T13:49:57.977Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908861087	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/228454906	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.668412	-83.858171	31227.0						2024-07-10T01:57	10	7	2024	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	228454906		Conservación_Corner_by_Queveri	2024-07-10T15:25:30	CC_BY_NC_4_0	Conservación_Corner_by_Queveri	Conservación_Corner_by_Queveri			2024-10-19T13:57:44.679Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
